Name,Class,Range,RoF,Dam,Dam Type,Pen,Clip,Rld,Special,Wt,Availability,Group,Book,Description
Crossbow,Basic,30m,S/–/–,1d10+1,R,0,1,2 Full,"Primitive (7), Simple Operation",3kg,Average,SP,Core,"This slightly more sophisticated version of the bow uses a stock and winch to increase tension and fi re a bolt or quarrel over a longer distance. These weapons can be used even by the unskilled, which is their primary selling point."
Flintlock Pistol,Pistol,15m,S/–/–,1d10+2,I,0,1,3 Full,"Primitive (8), Innacurate, Unreliable",3kg,Common,SP,Core,"Flintlock weapons are precursors to modern firearms, muzzle-loading single-shot black powder weapons with limited accuracy and short range. Amongst the feral tribes that populate the savage worlds of the Vortex, such weapons may be considered a sign of status. However, against power armour (and even the flak armour of the Imperial Guard) such weapons are woefully ineffective."
Flintlock Musket,Basic,30m,S/–/–,1d10+3,I,0,1,5 Full,"Primitive (8), Innacurate, Unreliable",7kg,Common,SP,Core,"Flintlock weapons are precursors to modern firearms, muzzle-loading single-shot black powder weapons with limited accuracy and short range. Amongst the feral tribes that populate the savage worlds of the Vortex, such weapons may be considered a sign of status. However, against power armour (and even the flak armour of the Imperial Guard) such weapons are woefully ineffective."
Hand Cannon,Pistol,35m,S/–/–,1d10+4,I,2,5,2 Full,Massive Recoil,3kg,Scarce,SP,Core,"A heavier version of the stub gun, hand cannons are popular with those who have the arm strength to wield them. They fire massive slugs that can turn unfortunates into chunks of meat, but generally have a low rate of fire and small ammo capacity."
Harpoon Gun,Heavy,40m,S/–/–,2d10+2,R,0,1,4 Full,"Crippling (5), Primitive (9), Snare (1)",18kg,Scarce,SP,Core,"This projectile weapon fires a long, barbed spear attached to a rope or chain, allowing the operator to reel in a helpless target. Such weapons are popular amongst the reavers in pirate wolfpacks, as they can be used as impromptu boarding devices or to maim a victim then pull them close for a “personal kill.” If a target is snared by a Harpoon Gun, the operator can make an Opposed Strength Test with the target as a Full Action on his next turn. If he succeeds, he pulls the target a number of metres directly towards him equal to the Degrees of Success."
Heavy Stubber,Heavy,100m,–/–/8,1d10+5,I,3,75,2 Full,,30kg,Rare,SP,Core,"The heavy stubber is a popular weapon amongst military forces and gangers alike, as—like most solid projectile weaponry—they are easily maintained and reasonably reliable. Heavy stubbers are large, belt-fed heavy weapons, often with long vented barrels. Though not as devastating as a heavy bolter or autocannon, they lay down an impressive rate of fi re and can shred infantry and unarmoured vehicles. Heavy stubbers are typically employed with a bipod or tripod mount to avoid the punishing recoil, though some tough individuals may be able to carry them with extensive bracing harnesses or suspensors. Many patterns use an ammunition belt of 100 rounds, though this often requires a loader to ensure the feed doesn’t jam. However, heavy stubbers can also be purchased with a smaller drum magazine of 40 rounds that does not require a loader."
Legion Shotgun,Basic,30m,S/2/–,1d10+6,I,0,10,2 Full,"Reliable, Scatter",10kg,Very Rare,SP,Core,"Shotguns fire a smoothbore cartridge full of pellets (though some Heretics prefer to fill the cartridge with wire twists or even glass shards for particularly painful wounds), so one shot fires a high-speed cloud of lead. These robust and practical weapons are popular amongst pirate raiders and underhive enforcers, as they can wreak havoc in close quarters. Some shotguns are specifically designed to be used by Space Marines, although most of these were originally possessed by the Space Marine Scouts of loyalist Chapters and 'requisitioned' by the Traitor Legionnaires."
M34 Autocannon,Heavy,300m,S/3/–,3d10+8,I,6,20,2 Full,Reliable,40kg,Very Rare,SP,Core,"An autocannon is a crew-served heavy weapon, a self-loading high calibre cannon that uses dense solid shells to punch through armour. Though unable to fully penetrate the ceramite of Space Marine power armour, they decimate light to medium vehicles and see widespread use in the Imperial Guard and many renegade armies. The M34 autocannon is an older version of a common Imperial Guard pattern in the Jericho Reach, and uses a tripod mount. It can be manned by one person, though it ideally employs a crew of two to move and set up."
Reaper Autocannon,Heavy,300m,S/4/–,3d10+8,I,6,40,2 Full,"Reliable, Twin-Linked",60kg,Extremely Rare,SP,Core,"The Reaper Autocannon is a particular type of double-barrelled autocannon, no longer employed by the forces of the Emperor. It is often seen amongst the ranks of Chaos Terminators, who use the heavy volume of fire it lays down to great effect, giving warbands an ability to take out heavy troops and light armour at range."
Shotgun,Basic,30m,S/–/–,1d10+4,I,0,8,2 Full,Scatter,5kg,Plentiful,SP,Core,"Shotguns fire a smoothbore cartridge full of pellets (though some Heretics prefer to fill the cartridge with wire twists or even glass shards for particularly painful wounds), so one shot fires a high-speed cloud of lead. These robust and practical weapons are popular amongst pirate raiders and underhive enforcers, as they can wreak havoc in close quarters."
Stub Automatic,Pistol,30m,S/3/–,1d10+3,I,0,9,Full,—,1.5kg,Average,SP,Core,"The stub automatic fires larger-bore projectiles than the autopistol, in single shot or semi-auto modes. Like other solid projectile weapons, its primary advantages are that its cheap and easy to maintain."
Stub Revolver,Pistol,30m,S/–/–,1d10+3,I,0,6,2 Full,Reliable,1.5kg,Plentiful,SP,Core,"The stub revolver is an ancient pistol design, using a revolving chamber to hold stub rounds. Though the design is exceedingly primitive, it survives because it is also exceedingly reliable—with few moving parts and a simple loading mechanism."
Stub Rifle,Basic,120m,S/–/–,1d10+3,I,1,5,Full,Accurate,5.5kg,Average,SP,Core,"The stub rifl e is a common sight across the galaxy, a hunting rifle fi ring large-bore stub rounds. Like most solid projectile weapons, its primary benefit is ease of construction and maintenance. Though dismissed as a pitiful civilian weapon by some, the accuracy of a stub rifle means many rebellions begin with one well-placed shot to an Imperial official’s head."
Bolter,Basic,100m,S/3/–,1d10+5,X,4,24,Full,Tearing,7kg,Very Rare,Bolt,Core,"The boltgun (also referred to as a “bolter”) is a powerful weapon that confers much prestige to the wielder. Many are heirloom weapons, taken in ritual duels or armed conflicts and passed down through generations of owners. This version of bolter is designed to be used by an un-augmented human, although the recoil is still murderous."
Bolt Pistol,Pistol,30m,S/2/–,1d10+5,X,4,8,Full,Tearing,3.5kg,Very Rare,Bolt,Core,"Large and intimidating pistols capable of decapitating a man with a single shot, bolt pistols are rare outside of elite Imperial forces, officer cadres of armies, or especially skilled or resourceful Heretics. This version of the bolt pistol is designed to be used by an un-augmented human, giving the lucky bearer superior fi repower at his hip."
Combi-Bolter,Basic,80m,S/3/–,1d10+5,X,4,32,2 Full,"Tearing, Twin-Linked",12kg,Extremely Rare,Bolt,Core,"The combi-bolter is a precursor to the Imperial storm bolter— essentially two bolters welded together with a linked firing mechanism. The result is an unwieldy and heavy weapon, but one that possesses an impressive rate of fire."
Heavy Bolter,Heavy,150m,–/–/6,1d10+8,X,5,60,Full,Tearing,40kg,Very Rare,Bolt,Core,"The heavy bolter is a common weapon amongst the armed forces of the Imperium, and over the last ten millennia has become a common weapon in the hands of the Imperium’s enemies as well. The fully automatic, tripod or bipod-mounted weapon spews out a torrent of massreactive bolts with a much higher calibre than regular boltgun ammo. The armour-penetrating explosive rounds can destroy vehicles and make mincemeat out of even heavy infantry."
Legion Bolter,Basic,100m,S/3/–,1d10+9,X,4,24,Full,Tearing,10kg,Extremely Rare,Bolt,Core,"Just as the Adeptus Astartes of the Imperium wield weapons beyond the heft of mere mortals, so to do the Traitor Legions arm themselves with larger bolt weapons that fi re far more powerful rounds. Those of the Chaos Space Marines are often true relic weapons, possibly even left over from the Heresy itself, and thus are possessed by ancient and murderous machine spirits. The blood-thirst of their weapons is kept in check only by the formidable will of their fearsome masters. The Legion boltgun, bolt pistol, combi-bolter, and heavy bolter share many design similarities with their non-Legion variations, the most sizeable difference being the more powerful rounds and more reliable mechanisms. They also count as Legion weapons, and thus follow the rules concerning non-Legionaires wielding Traitor Legion weapons."
Legion Bolt Pistol,Pistol,30m,S/2/–,1d10+9,X,4,8,Full,Tearing,5.5kg,Extremely Rare,Bolt,Core,"Just as the Adeptus Astartes of the Imperium wield weapons beyond the heft of mere mortals, so to do the Traitor Legions arm themselves with larger bolt weapons that fi re far more powerful rounds. Those of the Chaos Space Marines are often true relic weapons, possibly even left over from the Heresy itself, and thus are possessed by ancient and murderous machine spirits. The blood-thirst of their weapons is kept in check only by the formidable will of their fearsome masters. The Legion boltgun, bolt pistol, combi-bolter, and heavy bolter share many design similarities with their non-Legion variations, the most sizeable difference being the more powerful rounds and more reliable mechanisms. They also count as Legion weapons, and thus follow the rules concerning non-Legionaires wielding Traitor Legion weapons."
Legion Combibolter,Basic,80m,S/4/–,1d10+9,X,4,32,2 Full,"Tearing, Twin-Linked",15kg,Extremely Rare,Bolt,Core,""
Legion Heavy Bolter,Heavy,150m,–/–/6,1d10+12,X,5,60,Full,Tearing,45kg,Extremely Rare,Bolt,Core,""
Inferno Pistol,Pistol,10m,S/–/–,2d10+10,E,12,3 Full,Melta,3kg,Extremely Rare,Melta,,Core,""
Legion Meltagun,Basic,20m,S/–/–,2d10+13,E,12,6,2 Full,Melta,17kg,Extremely Rare,Melta,Core,""
Meltagun Basic,20m,S/–/–,2d10+10,E,12,5,2 Full,Melta,15kg,Very Rare,Melta,,Core,""
Multi-melta,Heavy,60m,S/–/–,2d10+16,E,12,12,2 Full,"Melta, Blast (1)",40kg,Very Rare,Melta,Core,""
Legion Plasma Gun,Basic,100m,S/2/–,1d10+12,E,10,24,5 Full,"Maximal, Overheats",18kg,Very Rare,Plasma,Core,""
Legion Plasma Pistol,Pistol,30m,S/2/–,1d10+10,E,8,12,3 Full,"Maximal, Overheats",4kg,Very Rare,Plasma,Core,""
Plasma Cannon,Heavy,150m,S/–/–,2d10+12,E,10,16,5 Full,"Blast (3), Maximal, Overheats",40kg,Very Rare,Plasma,Core,""
Plasma Gun,Basic,90m,S/2/–,1d10+8,E,10,20,5 Full,"Maximal, Overheats",18kg,Very Rare,Plasma,Core,""
Plasma Pistol,Pistol,40m,S/2/–,1d10+7,E,8,10,3 Full,"Maximal, Overheats",4kg,Very Rare,Plasma,Core,""
Flamer,Basic,20m,S/–/–,1d10+4,E,2,6,2 Full,"Flame, Spray",6kg,Common,Flame,Core,""
Hand Flamer,Pistol,10m,S/–/–,1d10+4,E,2,2,Full,"Flame, Spray",3.5kg,Scarce,Flame,Core,""
Heavy Flamer,Heavy,30m,S/–/–,1d10+8,E,5,10,2 Full,"Flame, Spray",20kg,Rare,Flame,Core,""
Legion Flamer,Basic,20m,S/–/–,1d10+9,E,4,6,2 Full,"Flame, Spray",10kg,Scarce,Flame,Core,""
Legion Heavy Flamer,Heavy,30m,S/–/–,1d10+12,E,6,15,2 Full,"Flame, Spray",25kg,Very Rare,Flame,Core,""
Grenade Launcher,Basic,60m,S/–/–,Ammo,Ammo,Ammo,6,2 Full,Ammo,12kg,Average,Launcher,Core,""
Missile Launcher,Heavy,300m,S/–/–,Ammo,Ammo,Ammo,1,Full,Ammo,35kg,Rare,Launcher,Core,""
Blight Grenade,Thrown,SBx3,S/–/–,2d10,E,0,1,—,"Toxic (2), Blast (6)",.5kg,Scarce,Grenade,Core,""
Frag Missile,Missile,—,—,2d10+2,X,2,—,—,"Blast (5), Devastating (1)",.5kg,Average,Missile,Core,""
Krak Missile,Missile,—,—,3d10+8,X,8,—,—,"Concussive (3), Proven (2)",.5kg,Scarce,Missile,Core,""
Frag Grenade,Thrown,SBx3,S/–/–,2d10,X,0,1,—,Blast (3),.5kg,Common,Grenade,Core,""
Krak Grenade,Thrown,SBx3,S/–/–,2d10+4,X,6,1,—,Concussive (0),.5kg,Rare,Grenade,Core,""
Hallucinogen Grenade,Thrown,SBx3,S/–/–,—,-,0,1,—,"Hallucinogenic (2), Blast (6)",.5kg,Scarce,Grenade,Core,""
Haywire Grenade,Thrown,SBx3,S/–/–,—,-,0,1,—,Haywire (3),.5kg,Rare,Grenade,Core,""
Legion Frag Grenade,Thrown,SBx3,S/–/–,2d10+2,X,0,1,—,Blast (4),.7kg,Scarce,Grenade,Core,""
Legion Krak Grenade,Thrown,SBx3,S/–/–,2d10+8,X,6,1,—,—,.7kg,Rare,Grenade,Core,""
Photon Flash,Thrown,SBx3,S/–/–,—,-,0,1,—,Blast (10),.5kg,Rare,Grenade,Core,""
Smoke Grenade,Thrown,SBx3,S/–/–,—,-,0,1,—,Smoke,.5kg,Common,Grenade,Core,""
Stun Grenade,Thrown,SBx3,S/–/–,—,-,0,1,—,"Blast (3), Concussive (2)",.5kg,Common,Grenade,Core,""
Web Grenade,Thrown,SBx3,S/–/–,—,-,0,1,—,Snare (2),.5kg,Rare,Grenade,Core,""
Noise Marine Blastmaster (Explosive Crescendo),Heavy,250m,S/–/–,3d10+10,E,8,—,—,"Blast (4), Devastating (2)",41kg,Near Unique,Exotic,Core,""
Noise Marine Blastmaster (Hail of Noise),Basic,150m,S/2/–,1d10+12,E,6,—,—,"Devastating (1), Storm",41kg,Near Unique,Exotic,Core,""
Noise Marine Doom Siren,Basic,30m,S/–/–,1d10+12,E,9,—,—,Spray,18kg,Extremely Rare,Exotic,Core,""
Noise Marine Sonic Blaster,Basic,100m,S/2/4,1d10+9,E,4,—,—,—,21kg,Extremely Rare,Exotic,Core,""
Razor Web,Basic,50m,S/–/–,1d10+2,R,3,6,2 Full,"Blast (2), Crippling (3), Snare (1)",12kg,Extremely Rare,Exotic,Core,""
Reaver Long Rifle,Basic,150m,S/–/–,1d10+4,R,2,4,Full,"Accurate, Felling (3), Toxic (0)",3kg,Scarce,Exotic,Core,""
Splinter Rifle,Basic,100m,S/3/5,1d10+2,R,3,200,2 Full,Toxic (4),2.5kg,Extremely Rare,Exotic,Core,""
Spore Caster,Basic,10m,S/–/–,—,-,0,1,2 Full,"Devastating (5), Hallucinogenic (3), Spray",5kg,Extremely Rare,Exotic,Core,""
Static Repeater,Basic,80m,S/4/–,1d10+1,E,0,4,Full,"Haywire (1), Storm",3kg,Near Unique,Exotic,Core,""
Warp Cannon,Heavy,100m,S/–/–,3d10,E,0,8,4 Full,"Blast (3), Recharge, Warp Weapon",30kg,Near Unique,Exotic,Core,""
Arm-mounted Chainblade,Melee,—,-,1d10+2,R,3,-,-,Tearing,5kg,Rare,Chain,Core,""
Chain Dagger,Melee,—,-,1d10+1,R,2,-,-,Tearing,2kg,Rare,Chain,Core,""
Chain Greatsword,Melee,—,-,2d10+2,R,3,-,-,"Tearing, Unbalanced",16kg,Scarce,Chain,Core,""
Chainaxe (human),Melee,—,-,1d10+4,R,2,-,-,Tearing,13kg,Average,Chain,Core,""
Chainaxe (Legion),Melee,—,-,1d10+5,R,3,-,-,Tearing,14kg,Extremely,Rare,Core,""
Chainsword (human),Melee,—,-,1d10+2,R,2,-,-,"Tearing, Balanced",6kg,Average,Chain,Core,""
Chainsword (Legion),Melee,—,-,1d10+3,R,3,-,-,"Tearing, Balanced",10kg,Extremely,Rare,Core,""
Chain Halberd,Melee,—,-,1d10+3,R,3,-,-,Tearing,8kg,Rare,Chain,Core,""
Fallen Magos Power Axe,Melee,—,-,2d10+4,E,6,-,-,"Power Field, Unbalanced",9kg,Extremely Rare,Power,Core,""
Legion Chainfist,Melee,—,-,2d10†,E,10,-,-,"Power Field, Tearing, Unwieldy",48kg,Extremely Rare,Power,Core,""
Lightning Claw,Melee,—,-,1d10+6,E,8,-,-,"Power Field, Proven (4), Special",30kg,Extremely Rare,Power,Core,""
Power Axe (human),Melee,—,-,1d10+7,E,6,-,-,"Power Field, Unbalanced",8kg,Extremely Rare,Power,Core,""
Power Axe (Legion),Melee,—,-,1d10+8,E,7,-,-,"Power Field, Unbalanced",10kg,Extremely Rare,Power,Core,""
Power Blade,Melee,—,-,1d10+3,E,5,-,-,Power Field,3kg,Very Rare,Power,Core,""
Power Fist (human),Melee,—,-,2d10,E,8,-,-,"Power Field, Unwieldy, Special",13kg,Very Rare,Power,Core,""
Power Fist (Legion),Melee,—,-,2d10,E,9,-,-,"Power Field, Unwieldy, Special",25kg,Extremely Rare,Power,Core,""
Power Mace ,Melee,—,-,1d10+6,E,4,-,-,"Power Field, Special",8kg,Extremely Rare,Power,Core,""
Power Scythe,Melee,—,-,1d10+7,E,7,-,-,"Power Field, Unbalanced",9kg,Very Rare,Power,Core,""
Power Sword (human),Melee,—,-,1d10+5,E,5,-,-,"Power Field, Balanced",3kg,Very Rare,Power,Core,""
Power Sword (Legion),Melee,—,-,1d10+6,E,6,-,-,"Power Field, Balanced",5kg,Extremely Rare,Power,Core,""
Axon Razor,Melee,—,-,1d5,R,4,-,-,"Crippling (5), Razor Sharp",1kg,Near Unique,Exotic,Core,""
Bone Maul,Melee,—,-,2d10,I,2,-,-,"Unbalanced, Tainted",7kg,Near Unique,Exotic,Core,""
Fang Dagger,Melee,—,-,1d10,R,2,-,-,Warp Weapon,2kg,Near Unique,Exotic,Core,""
Flensing Blade,Melee,—,-,1d10+5,R,3,-,-,"Razor Sharp, Balanced",2kg,Extremely Rare,Exotic,Core,""
Q’sal Glass Dagger,Melee,—,-,1d10+2,R,6,-,-,Toxic(1),1kg,Extremely Rare,Exotic,Core,""
Hellblade,Melee,—,-,1d10+6,R,10,-,-,"Balanced, Power Field, Special",3kg,Unique,Exotic,Core,""
Frozen Shard,Melee,—,-,1d10+6,R,8,-,-,"Balanced, Felling (3)",2kg,Extremely Rare,Exotic,Core,""
Velklir Rapier,Melee,—,-,1d10+7,E,7,-,-,"Balanced, Flexible, Razor Sharp, Special",1kg,Unique,Exotic,Core,""
Plague Sword,Melee,—,-,1d10+3,R,4,-,-,"Balanced, Toxic (2), Special",2kg,Extremely Rare,Exotic,Core,""
Searing Blade,Melee,—,-,1d10+6,E,7,-,-,Balanced,3kg,Near Unique,Exotic,Core,""
Force Rod,Melee,—,-,1d5,I,0,-,-,Force,1kg,Near Unique,Force,Core,""
Force Scythe,Melee,—,-,1d10+4,R,3,-,-,"Unbalanced, Force",10kg,Near Unique,Force,Core,""
Force Staff,Melee,—,-,1d10,I,0,-,-,"Balanced, Force",4kg,Near Unique,Force,Core,""
Force Sword,Melee,—,-,1d10+2,R,2,-,-,"Balanced, Force",8kg,Near Unique,Force,Core,""
Staff of Change,Melee,—,-,1d10+5,I,5,-,-,"Force, Warp Weapon",4kg,Unique,Force,Core,""
Shock Maul,Melee,—,-,1d10,I,0,-,-,Shocking,3kg,Scarce,Shock,Core,""
Electro-Flail,Melee,—,-,1d10+2,I,0,-,-,"Flexible, Shocking",5kg,Rare,Shock,Core,""
Neural Whip,Melee,3m,-,1d10+1,R,0,-,-,"Flexible, Shocking",4kg,Rare,Shock,Core,""
Armoured Gauntlet,Melee,—,-,1d5+1,I,0,-,-,Primitive (6),1kg,Average,Primary,Core,""
Legion Combat Knife,Melee,—,-,1d10,R,2,-,-,-,2kg,Very Rare,Primary,Core,""
Axe,Melee,—,-,1d10+1,R,0,-,-,Unwieldy,4kg,Average,Primary,Core,""
Great Weapon,Melee,-,—,2d10,-,0,-,-,Unbalanced,7kg,Scarce,Primary,Core,""
Hammer,Melee,—,-,1d10+1,I,0,-,-,"Primitive (9), Unbalanced",4kg,Common,Primary,Core,""
Improvised,Melee,-,—,1d10,I,0,-,-,"Primitive(7), Unbalanced",Varies,Plentiful,Primary,Core,""
Knife,Melee/Thrown,-,—,1d5,R,0,-,-,,1kg,Plentiful,Primary,Core,""
Scythe,Melee,—,-,1d10+4,R,3,-,-,"Unbalanced, Felling (1)",6kg,Common,Primary,Core,""
Shield,Melee,—,-,1d10,I,0,-,-,"Primitive (6), Defensive",3kg,Common,Primary,Core,""
Spear,Melee,—,-,1d10,R,0,-,-,Primitive (8),3kg,Common,Primary,Core,""
Staff,Melee,—,-,1d10,I,0,-,-,"Primitive (7), Balanced",3kg,Plentiful,Primary,Core,""
Sword,Melee,-,-,1d10,R,0,-,-,Balanced,3kg,Common,Primary,Core,""
