Name,Alternate Names,Value,Prerequisites,Action,Focus Power,Range,Sustained,Subtype,Description
Flicker,"Warpstep, Ephemeral Passage, Violet",400xp,"Mark of Tzeentch, Willpower 50+, Psy",Half Action,Diffi cult (–10) Willpower Test,Self,Free Action,Concentration,"The Sorcerer creates a shimmering fi eld of unreality around him, his image becoming transparent and intermittent as he flickers between reality and the warp. In this manner, he may step through solid objects as if they were air, and the blows of the enemy pass through him as if he were nothing more than a holographic image. For as long as this power remains in effect, the Sorcerer gains the Incorporeal Trait (see Chapter IV: Talents and Traits), and counts his Agility Bonus as equal to the Sorcerer’s Psy Rating for the purposes of determining how far he may move, and he may move as easily vertically as horizontally. While in this state, the Sorcerer cannot cross psychically charged barriers, holy wards or energy wards designed to bend reality or manipulate the warp, such as a Gellar Field or Void Shield."
Gholam Curse,"Puppetmaster Sigil, Dance of Lies",300xp,"Aligned Tzeentch,",Half Action,Challenging (+0),20 metres x Psy Rating,No,"Attack, Concentration","The Sorcerer reaches into the mind of an enemy, and bends their body to his will. Many sorcerers conjure sigils that appear upon the victim, and whisper commands that the victim’s body will obey without question. The Sorcerer must target a single enemy within range and line of sight, who may resist the power with a Willpower Test. If the target fails the test, then his actions in his next turn may be decided by the Sorcerer. The victim cannot deal damage to himself with his actions. Any tests the victim attempts while controlled by the Sorcerer gains a bonus equal to twice the Sorcerer’s Psy Rating."
Mantle Of Lies,"Changeling, Veil of Illusion",200xp,"Aligned Tzeentch, Intelligence 40+,",Half Action,Diffi cult (–10) Willpower Test,25 metres x Psy Rating,Half Action,Concentration,"The Sorcerer calls upon the Weaver of Fates to bless him with the power of confusion. An illusion is woven over the Sorcerer and a target of his choice, and even the closest allies of the victim can seldom see the truth of the matter. The Sorcerer nominates a single enemy within range and line of sight. While this power remains in effect, the Sorcerer appears to be the target, and the target appears to be the Sorcerer. The illusion is almost flawless, and is difficult for even the most careful observers to see through. A creature can attempt an Awareness Test, with a penalty equal to fi ve times the Sorcerer’s Psy Rating, in order to see through the illusion."
Mindscourge,Death of Thought,300xp,"Aligned Tzeentch, Hatred (any), Psy Rating 5",Half Action,Challenging (+0) Willpower Test,25 metres x Psy Rating,No,"Attack, Concentration","At first, all the victim feels is a sharp stabbing pain in his head. However, the Sorcerer has placed a sliver of psychic energy in the victim’s mind, which will inflict debilitating pain as it moves through the victim’s psyche, leaving him ultimately comatose. This power is a Psychic Bolt which deals 1d10 + Psy Rating Energy Damage with the Warp Weapon and Shocking Qualities. After suffering Damage from this power, the target suffers 1d5 Damage to Intelligence, Willpower and Fellowship every turn for a number of turns equal to the Degrees of Success on the Focus Power Test. This power can only affect creatures with a mind, so non-Heretics with the Machine Trait, plant life, and other creatures at the GM’s discretion may be unaffected."
Protean Form [Corruption],"Flesh of Clay, Chimeric Transmutation,",500xp,"Mark of Tzeentch, Corruption 50+,",Full Action,Challenging (+0) Corruption Test,Self,Free Action,"Attack, Concentration","The Sorcerer distends and warps his form into a new and horrific shape, channelling the power of Chaos into his own corrupt fl esh to bless his enemies with a glorious image of change. Sorcerers of Tzeentch consider this power to be amongst the greatest blessings Tzeentch can bestow upon a mortal—the power to change themselves into any form they choose. Upon successfully using this power, the Sorcerer gains Unnatural Characteristics equal to twice his Psy Rating, divided as he chooses amongst his Characteristics. Alternately, the Sorcerer may choose to gain a number of Traits from the following list, each Trait taking the place of two points of Unnatural Characteristics he would gain normally. Amphibious, Amorphous, Burrower (2), Flyer (3), Deadly Natural Weapons, Multiple Arms (1), Natural Armour (2), Sonar Sense, Sturdy, Unnatural Senses (5). Traits with a value in parenthesis can be taken multiple times, each time after the fi rst adding +1 to the listed value. However, so unstable is the Sorcerer’s form that he cannot easily maintain his shape, gaining the Warp Instability Trait. Should he be reduced to 0 wounds, the power’s effects end immediately, leaving the Sorcerer Stunned until the end of his next turn as his body swiftly returns to its natural shape. Psychic Phenomena: The constant stream of warp energy pouring through the Sorcerer’s body causes ripples in reality that cannot easily be contained. At the start of the Sorcerer’s turn, every turn this power remains in effect, roll on Table 6–2: Psychic Phenomena and apply the result immediately, re-rolling results of 75 or higher. The second results stand."
Psyphon,"Thoughtleech, Violet Flame of Deprivation",200xp,"Aligned Tzeentch, Willpower 40+, Psy Rating 4",Half Action,Challenging (+0) Opposed Willpower Test,5 metres x Psy Rating,Free Action,"Attack, Concentration","The Sorcerer locks his gaze with a victim, drawing away his will and using that stolen mental strength to bolster his own. Frequent use of this power has been known to result in a coma or braindeath for the victim, and leave fl eeting echoes of memory in the Sorcerer. The Sorcerer nominates a single enemy within range and line of sight, who may resist this power with a Willpower Test. If the target fails to resist, he suffers 2d10 Willpower Damage, and the Sorcerer gains Unnatural Willpower (1), +1 for every full 5 points of Willpower Damage the power inflicts. This Unnatural Willpower remains for as long as the power’s effects persist."
Vile Revelation,"Orange Fire of Prophecy, Harrowing",300xp,"Mark of Tzeentch, Perception 50+, Psy Rating 5",Half Action,Diffi cult (–10) Opposed Perception Test,Self,Half Action,Concentration,"The Sorcerer feels the shifts and fl ows of the warp keenly, and can discern brief slivers of events yet to come from this morass of swirling potential. Many Sorcerers are driven mad by the visions they receive from the Immaterium. While this power remains in effect, the Sorcerer can see enough of the future to grant him an advantage in his endeavours. The Sorcerer gains a bonus on all tests while this power remains in effect equal to twice his Psy Rating. However, he suffers 1d5 points of Intelligence Damage every turn this power is in effect."
Blasphemy Made Flesh [Corruption],"Transcendence of Esh’raiik, Desolation",500xp,"Corruption 60+, Psy Rating 6, Abhorrent Ward",Half Action,Difficult (–10) Corruption Test,Self,Free Action,Concentration,"The Sorcerer’s soul is the foulest of blasphemies, utterly awful to behold and almost impossible for mortal beings to look upon him without feeling nauseous or repelled. So vile is the Sorcerer’s nature that daemons swarm around him, desperate to tear through the veil and revel in the horror of the Sorcerer’s presence. This power, and its lesser version, was devised by the sorcerer Esh’raiik to turn his foulness into an advantage. While this power remains in effect, any creature attempting to target the Sorcerer—with a melee attack, a ranged attack, a psychic power, or any other form of attack – must attempt a Willpower Test, with a –5 times the Sorcerer’s Psy Rating penalty. If the attacker passes the Test, he may attack as normal. However, failure means his revulsion prevents him attacking, wasting the action and any remaining actions that turn. Psychic Phenomena: The pressure of daemonic horde tearing at the fabric of existence thins the veil, making it risky for psykers to draw too deeply from the warp. While this power remains in effect, any psyker within 30m who causes Psychic Phenomena automatically rolls a 100, causing Perils of the Warp."
Hellish Blast,"Savage Conjuration, Ygethmor’s Wrath",600xp,"Psy Rating 5, Hatred (any)",Half Action,Challenging (+0) Willpower Test,30 metres x Psy Rating,No,"Attack, Concentration","The Sorcerer reaches into the warp for pure destructive force, gathering up raw hatred and the most concentrated spite. The sorcerer Ygethmor, who has long been an advisor to Warmaster Abaddon, calls down anger and fury and coalesced wrath in a skull-like conjuration made of black fl ame and crimson lightning. This power is a Psychic Blast with a radius of the Sorcerer’s Psy Rating in metres, which deals 3d10 + Psy Rating Energy Damage with a Pen of 10 and the Flame and Tearing Qualities."
Maelstrom Of Rage,"Slaughterer’s Song, Deepest Fury",400xp,"Psy Rating 6, Frenzy, Hatred (Any One)",Half Action,Challenging (+0) Willpower Test,10 metres x Psy Rating radius,Half Action,Attack,"The Sorcerer reaches deep into the warp, bringing forth the deepest, darkest rage and hatred he can fi nd, unleashing it upon all those nearby. While there are no sorcerers devoted to Khorne, many do offer up prayers to the Blood God, seeking to beseech the source of all rage. While this power remains in effect, the Sorcerer and all creatures within the power’s radius immediately enter a Frenzied state, as if they had the Frenzy Talent. In addition, they gain the Hatred Talent against all enemies. They will remain in this state for as long as they remain within the power’s radius."
Primordial Annihilation [Corruption],Laughter of Thirsting Gods,1000xp,"Psy Rating 7, Corruption 70+",Full Action,Hard (–20) Corruption Test,10 metres x Psy Rating radius,No,"Attack, Concentration","The Sorcerer unleashes the raw power of the warp into reality, burning away the sham of the material universe. Few things can stand before the relentless tide of the Immaterium, and fewer emerge unscathed. Many sorcerers think of this power as being a reflection of the true nature of the Chaos Gods, the purest manifestation of their desires. Primordial Annihilation must be used at the Push power level. This power is a Psychic Blast, centred on the Sorcerer himself, with a radius equal to the range of the power. All creatures within the radius, except for the Sorcerer himself, take a single hit dealing 1d10 Energy Damage times the Sorcerer’s Psy Rating, with the Flame and Warp Weapon qualities. Psychic Phenomena: The warp boils forth in an unstoppable tide, doing far more than simply burn away everything in its path. Roll twice on Table 6–3: Perils of the Warp and apply both effects immediately, instead of any normal Psychic Phenomena."
Shattertime,"Sunder the Clock, Defi le Time",400xp,"Psy Rating 6, Precognition",Half Action,Hard (–20) Willpower Test,Self,Free Action,Concentration,"The Sorcerer draws upon the timeless nature of the warp and uses it to unravel the hindrances of linear time, stepping from moment to moment in no particular order. The Sorcerer gains the Unnatural Weapon Skill, Unnatural Ballistic Skill, and Unnatural Agility Traits, all at values equal to his Psy Rating. In addition, the Sorcerer can choose to vanish from reality during any given round, for a total number of rounds (which do not have to be consecutive) equal to the Degrees of Success on the Focus Power Test. He will reappear in exactly the same place he vanished from when he chooses to reappear."
Sunder The Veil,"The Calling, Summoning the Horde",500xp,"Psy Rating 5, Forbidden Lore (Warp) +20",Full Action,Arduous (–40) Willpower Test,10 metres per Psy Rating radius,Half Action,"Attack, Concentration","The veil between reality and the warp is breached, allowing daemons to pour through and wreak havoc upon the material universe for a brief time. To be able to tear open the veil with a thought is considered by many sorcerers to be the pinnacle of arcane might. The Sorcerer creates an area of the listed radius, within which the barrier between warpspace and reality is broken. Within this area, all psychic powers must be used at the Push power level, and +20 is added to all rolls on the Psychic Phenomena table. Further, for every Degree of Success on the Focus Power Test, a single lesser daemon of the Sorcerer’s choice will manifest within the area, each remaining for a number of rounds equal to the Sorcerer’s Psy Rating before it vanishes back into the warp. This power may not be re-used until its effects have ended."
