Name,Type,Characteristic Bonus,Characteristic Penalty,Description,Special Modifier
Destruction,Disgrace,infamy: 2,fellowship: 4,"Defeating a foe is never suffi cient. Opponents must be utterly annihilated, their works destroyed, and their reputations laid waste. Opportunities to spread suffering, by any means, must be fully embraced; as mortal suffering may benefi t the Ruinous Powers.",
Gluttony,Disgrace,wounds: 2,agility: 5,"Consumption is a passion for this character. He revels in using up any available resources for the simple thrill of its expenditure. It may be that he consumes vast quantities of food, but it could also be entertainment, natural resources, or the time of those with whom he interacts.",
Greed,Disgrace,corruption: 4,,"Often, when this character sees something novel, he is overcome by a passion to possess it. The item in question need not be useful, but the compulsion is much stronger if it is unique or rare. This urge may even overcome the necessities of a task at hand.",Overwhelming Need: The character receives a –10 Situational Modifi er to all Commerce attempts.
Hubris,Disgrace,infamy: 2,intelligence: 4,"The Heretic’s self-confi dence and bluster vastly exceeds his abilities. He never fears or even considers failure. Instead, he engages in every challenge, often with little consideration for what preparations might be necessary or the consequences of failure.",
Regret,Disgrace,corruption: 5,,"In the past, this character performed some deed that continues to haunt his mind. He is constantly plagued by guilt for this decision and its consequences. He is constantly driven to make amends for the act but remains incapable of compensating the victims",Haunted: Opponents always receive a +10 Situational Modifier when attempting to use Intimidation against the character.
Waste,Disgrace,infamy: 2,willpower: 4,"When a person has achieved a level of wealth that material concerns are no longer an issue, then the ability to frivolously waste materials can be a joy in itself. This Heretic embraces that joy, even at those times when he can ill afford to do so. He destroys resources for the simple pleasure of their destruction.",
Wrath,Disgrace,perception: 5,"willpower: 2, wounds: 1","Anger is a constant companion and drive for this Heretic. He fi rmly believes that the universe actively conspires against him, and that his success can only be achieved by exacting his vengeance upon his oppressors",
Arcane,Motivation,"corruption: 4, intelligence: 2",strength: 3,The character is obsessed with uncovering lost and forbidden knowledge. Discovering and keeping these secrets drove him to embrace Chaos. His drive to continue this practice has not lessened.,
Ascendancy,Motivation,willpower: 5,wounds: 2,"Mortal power is fleeting and life is short. The Heretic wishes to overcome both of these limitations by assuming a permanent level of at least daemonic power, but preferably a transformation to the divine and unholy.",
Dominion,Motivation,"infamy: 1, willpower: 2, fellowship: 2","agility: 4, wounds: 1","Some seek to control all they can survey, then travel to fi nd new lands to conquer. The characterwishes to have dominion over the galaxy itself, demanding that all lesser beings bow down to acknowledge his authority over them.",
Immortality,Motivation,wounds: 2,weapon skill: 5,"The character fears death in all its varied forms, or simply desires to live for eternity. To overcome this, he is willing to take whatever means are necessary to insure his continued survival; the means might be mechanical, warp spawned, or some unholy combination of the two.",
Innovation,Motivation,"corruption: 2, intelligence: 3",wounds: 2,"While uncovering lost knowledge is a worthy cause, it pales behind the glories of creating completely new forms of technology or psychic phenomena. This Heretic has embraced the ways of Chaos so that he might use its powers to create new tools and uncover information that was previously beyond the limitations of mortals.",
Legacy,Motivation,infamy: 2,intelligence: 4,"The Heretic has embraced his mortality by believing that he has a destiny to infl uence the universe that extends far beyond his lifespan. This character seeks to change galactic history in a powerful way that will be remembered through the millennia. However, such actions may lead him to not think intelligently about a situation.",
Nihlism,Motivation,corruption: 5,willpower: 3,"The character firmly believes that he is the centre of all existence. Everything else is but a product of his imaginative subconscious. He has no moral restrictions to his actions, rather he engages every whim because he believes he is entitled to do so",
Perfection,Motivation,ANY: 5,"ANY: 3, ANY: 3","The character holds himself and all of his allies to an impossible standard of perfection, in at least one area of his life. However, attempting to reach this ideal ensures other aspects slacken.","Any characteristic:+5, any other two:-3"
Vengeance,Motivation,wounds: 2,perception: 5,"In the past, this character was a victim. Since then, he has vowed to make those who have slighted him pay for their actions. He is willing to make every sacrifice necessary to right this wrong and to prevent anyone from ever hurting him again.",
Violence,Motivation,corruption: 5,intelligence: 3,"For some, violence is not a means to an end but an end in itself. This character revels in the wanton destruction of any who could be vulnerable to his actions. He has no fear of repercussions, for he believes he is the most potent force of destruction in the galaxy.",
